 Roll Number, Gender,Location,What_are_the_usual_causes_of_stress_in_your_daily_online_class ,What_are_the_usual_behavioral_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_PSYCHOLOGICAL_or_EMOTIONAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_PHYSICAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_COGNITIVE_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_SOCIAL_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_your_personal_methods_to_relieve_stress,How_stressed_do_you_feel_on_a_daily_basis_during_the_academic_year,Found_that_you_could_not_cope_with_all_the_things_you_had_to_do,When_do_you_feel_mostly_stressed,How_effective_has_remote_learning_been_for_you                  ,How_well_could_you_manage_time_while_learning_remotely,Do_you_enjoy_learning_remotely
190330162,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,No social effect,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330141,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Almost Never,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
2010040063,Male,Urban,Environmental Background Noise,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Very Often,Assignment submision deadline,Not at all effective,Good,"No, there are quite a few challenges"
180330197,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Tremors or muscle twitching,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
180330106,Male,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,Confusion,No social effect,Sleeping,Average Stressed,Very Often,Assignment submision deadline,Slightly effective,Average,"No, there are quite a few challenges"
180330070,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Not Stressed at All,Never,Never feel stressed,Very effective,Very good,"Yes, absolutely"
180330086,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Less Stressed,Sometimes,Online Examination time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330144,Female,Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Sometimes,Online class during evening time,Not at all effective,Average,Never
180330108,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Talking with someone,Less Stressed,Never,Online class during day time,Not at all effective,Bad,"No, there are quite a few challenges"
180330094,Male,Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
180330087,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
180330277,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Almost Never,Online class during evening time,Not at all effective,Good,"No, there are quite a few challenges"
180330042,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
180330049,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,Not Stressed at All,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
2010030391,Male,Rural,Environmental Background Noise,Difficulty communicating,Anxlety or fear,Headaches,Difficulty Concentrating,Difficulty listening,Computer Games,Not Stressed at All,Never,Online class during evening time,Slightly effective,Average,"Yes, absolutely"
2010080017,Female,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Tremors or muscle twitching,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Social Media,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
2010030047,Male,Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
180330030,Male,Urban,Health Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty sharing ideas,Talking with someone,highly stressed,Very Often,Assignment submision deadline,Not at all effective,Very Bad,Never
180330190,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Computer Games,highly stressed,Sometimes,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
190330097,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Tremors or muscle twitching,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Very Often,Online Examination time,Not at all effective,Bad,"No, there are quite a few challenges"
190330021,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Very Often,Online class during day time,Very effective,Bad,Never
190330053,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Headaches,Confusion,Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
190330105,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Never,Online class during evening time,Extremely effective,Good,"Yes, absolutely"
180330286,Male,Urban,Family Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,Average Stressed,Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
190330108,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
190330121,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Computer Games,Average Stressed,Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
190330118,Male,Urban,Health Issue,Change in activity levels,No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330247,Female,Urban,Family Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Very Often,Online class during day time,Not at all effective,Average,Never
190330255,Male,Rural,Health Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,No social effect,Sports / Exercise,Not Stressed at All,Sometimes,Never feel stressed,Slightly effective,Average,"No, there are quite a few challenges"
180330137,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online Examination time,Not at all effective,Very Bad,Never
180330224,Male,Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030134,Female,Rural,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
180330085,Male,Rural,Health Issue,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
180330201,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sleeping,highly stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
190330211,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sleeping,highly stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330228,Male,Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Tremors or muscle twitching,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Talking with someone,highly stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
180330208,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,highly stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
180330172,Female,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,,highly stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
180330149,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,,highly stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
2010030156,Female,Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Headaches,Confusion,No social effect,Talking with someone,Average Stressed,Never,Assignment submision deadline,Not at all effective,Good,"Yes, absolutely"
190330291,Male,Rural,Environmental Background Noise,Difficulty communicating,Anxlety or fear,Eye problem due to online class,Confusion,Difficulty listening,Social Media,highly stressed,Fairly Often,Online class during evening time,Very effective,Good,"Yes, but I would like to change a few things"
2010030468,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,Withdrawing or isolating from people,Social Media,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Average,"Yes, but I would like to change a few things"
2010030562,Male,Rural,Family Issue,Difficulty communicating,No psychological and emotional effect,Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030560,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless","Digestion Problem, Upset stomach, nausea, diarrhea",Confusion,Withdrawing or isolating from people,Social Media,Less Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
180330122,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",No physical effect,No cognitive effect,No social effect,,Average Stressed,Very Often,Online class during evening time,Very effective,Average,Never
2010040107,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
190330244,Male,Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
2010040057,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
2010040056,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Eating,Less Stressed,Never,Online class during evening time,Not at all effective,Good,"Yes, absolutely"
180330216,Male,Urban,Environmental Background Noise,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Eating,Less Stressed,Sometimes,Online class during day time,Moderately effective,Good,"No, there are quite a few challenges"
180330188,Male,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030377,Male,Urban,Feeling no stress,Change in activity levels,No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
190330068,Male,Urban,Health Issue,Change in activity levels,"Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Not at all effective,Bad,Never
190330308,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Almost Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
190330011,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Computer Games,highly stressed,Very Often,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
190330069,Male,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Never,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
190330306,Male,Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,highly stressed,Very Often,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330013,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Very Often,Assignment submision deadline,Extremely effective,Bad,"No, there are quite a few challenges"
190330138,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Not at all effective,Bad,"No, there are quite a few challenges"
190330180,Female,Rural,Feeling no stress,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Confusion,No social effect,Sleeping,Less Stressed,Never,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
190330043,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Tremors or muscle twitching,Difficulty Concentrating,Difficulty listening,Social Media,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Bad,Never
190330154,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online Examination time,Moderately effective,Good,"No, there are quite a few challenges"
190330169,Male,Urban,Feeling no stress,Change in sleep patterns,Anxlety or fear,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, absolutely"
190330111,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",No physical effect,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,Less Stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
2010030360,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sports / Exercise,Not Stressed at All,Sometimes,Assignment submision deadline,Slightly effective,Very Bad,"No, there are quite a few challenges"
2010030357,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Good,"No, there are quite a few challenges"
2010030393,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030365,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,No social effect,Sports / Exercise,Average Stressed,Never,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
2010030361,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Not at all effective,Very Bad,Never
2010030534,Female,Urban,Health Issue,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,Difficulty Concentrating,Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330198,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Not at all effective,Bad,"No, there are quite a few challenges"
190330261,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,Average Stressed,Very Often,Online class during evening time,Slightly effective,Bad,"Yes, but I would like to change a few things"
180330075,Female,Urban,Health Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
2010040058,Male,Urban,Family Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
2010040033,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, but I would like to change a few things"
180330061,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030452,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Bad,"Yes, but I would like to change a few things"
2010030530,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330236,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,,Average Stressed,Sometimes,Online class during evening time,Moderately effective,,
190330218,Male,Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,No social effect,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,
180330013,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,Average Stressed,Never,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010030006,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Slightly effective,Bad,"Yes, but I would like to change a few things"
2010030413,Male,Urban,Environmental Background Noise,Change in sleep patterns,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,Difficulty sharing ideas,,Average Stressed,Sometimes,Never feel stressed,Moderately effective,Average,"Yes, absolutely"
190330198,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Fairly Often,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
2010080075,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Talking with someone,Average Stressed,Sometimes,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030136,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends","Digestion Problem, Upset stomach, nausea, diarrhea",Confusion,Difficulty sharing ideas,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Slightly effective,Average,"Yes, absolutely"
180330111,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Sports / Exercise,Less Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, absolutely"
2010080016,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Talking with someone,Average Stressed,Fairly Often,Assignment submision deadline,Slightly effective,Good,"No, there are quite a few challenges"
2010030217,Female,Urban,Family Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030053,Male,Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Confusion,Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
180330142,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,Anxlety or fear,Headaches,"Slowness in thinking, analyzing, or comprehending",No social effect,,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
2010030074,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,Never
2010030326,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,Difficulty Concentrating,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
180330064,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Sometimes,Never feel stressed,Extremely effective,Good,"Yes, absolutely"
180330062,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
B.Sharan,Male,Urban,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Almost Never,Online class during day time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330141,Male,Rural,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
180330006,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Not at all effective,Bad,"No, there are quite a few challenges"
180330025,Female,Urban,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Almost Never,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
2010030536,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030281,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
2010040028,Male,Rural,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Computer Games,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Bad,"Yes, but I would like to change a few things"
2010040085,Female,Rural,Environmental Background Noise,No changes in behaviour,"Sadness, moodiness, grief or depression",No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Never,Online Examination time,Not at all effective,Very good,"Yes, absolutely"
2010040109,Male,Urban,Environmental Background Noise,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during day time,Slightly effective,Good,"Yes, but I would like to change a few things"
